ra,dec,insmag_V,insmagerr_V,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.64287,-0.09253,-9.848,0.053,20.5741,0.0235,19.3713,0.0047,18.3296,0.0034,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63979,-0.09157,-10.557,0.028,19.4446,0.0136,19.1075,0.0054,18.9892,0.0062,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.59993,-0.08817,-14.134,0.011,15.9138,0.0034,15.4404,0.003,15.2628,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63689,-0.08891,-13.344,0.011,16.7242,0.0039,16.2103,0.0017,15.9852,0.0022,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.47232,-0.0904,-10.344,0.029,19.5878,0.0091,19.2954,0.0081,19.1803,0.0055,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.55786,-0.0891,-10.549,0.028,19.3952,0.0075,19.0718,0.0061,18.9274,0.0087,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.52182,-0.08903,-10.545,0.028,19.693,0.0108,18.7011,0.0052,18.2788,0.0035,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45418,-0.08969,-9.735,0.059,20.5097,0.0157,19.3959,0.0075,18.8626,0.0056,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51047,-0.08561,-14.718,0.01,15.3456,0.0016,14.756,0.0014,14.5203,0.003,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65957,-0.08871,-10.184,0.038,19.9128,0.0094,19.3499,0.0069,19.0951,0.0053,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.61561,-0.08915,-9.781,0.056,20.2171,0.0087,19.7262,0.0097,19.5384,0.0081,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.58847,-0.08824,-9.55,0.064,20.4935,0.0199,20.0917,0.0176,19.8556,0.0107,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.47852,-0.08654,-9.458,0.073,20.7071,0.0204,19.7617,0.0101,19.3192,0.0064,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.62434,-0.084,-13.646,0.011,16.4902,0.0031,15.821,0.0024,15.5271,0.0013,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.5585,-0.08459,-10.56,0.03,19.5508,0.0123,18.8719,0.0052,18.6051,0.009,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.55139,-0.08347,-12.586,0.011,17.4455,0.0036,16.963,0.0016,16.7561,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63083,-0.0842,-10.568,0.029,19.4992,0.0144,19.0919,0.007,18.9348,0.0049,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.63782,-0.08439,-9.732,0.059,20.3052,0.0089,19.4884,0.0073,19.1398,0.0059,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.54876,-0.08333,-11.342,0.016,18.9098,0.0074,17.8505,0.0027,17.402,0.0026,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45824,-0.08133,-11.408,0.016,18.7345,0.0065,17.8882,0.0025,17.4919,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.47916,-0.08178,-10.321,0.033,19.7878,0.0125,18.9742,0.0042,18.654,0.006,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.46543,-0.07927,-13.224,0.011,16.8988,0.0032,16.1324,0.0017,15.8157,0.0025,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.55334,-0.07823,-13.448,0.01,16.5769,0.0038,16.1276,0.0025,15.9553,0.0009,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.6091,-0.07781,-10.507,0.031,19.5416,0.01,18.9852,0.0052,18.742,0.007,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.55126,-0.07667,-10.8,0.023,19.2206,0.0054,18.7385,0.0026,18.5334,0.0049,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.50923,-0.0765,-10.827,0.024,19.4815,0.0116,18.2995,0.0048,17.7438,0.0028,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.62542,-0.07704,-9.612,0.063,20.7771,0.0389,19.6402,0.0104,19.0688,0.0053,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.59559,-0.07369,-14.056,0.011,16.0623,0.0028,15.4374,0.0022,15.1519,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.44221,-0.07579,-9.934,0.047,19.9694,0.0141,19.5423,0.0048,19.3478,0.005,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.50607,-0.07409,-10.95,0.022,19.3466,0.009,18.09,0.0047,17.3802,0.0032,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.56275,-0.07376,-11.157,0.025,18.8652,0.0066,18.4235,0.0056,18.2411,0.0035,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65906,-0.072,-12.59,0.011,17.4866,0.0031,16.9928,0.0019,16.7961,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.51476,-0.0724,-11.175,0.018,18.8443,0.0057,18.3447,0.0055,18.1403,0.0062,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.50388,-0.07128,-12.852,0.01,17.1473,0.0041,16.677,0.002,16.4855,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.58294,-0.07015,-10.588,0.028,19.5215,0.0104,18.7761,0.0052,18.4739,0.0041,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.43986,-0.07059,-11.07,0.021,19.155,0.0124,18.0433,0.0023,17.549,0.0026,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.6172,-0.0689,-11.656,0.014,18.6221,0.0041,17.5482,0.0026,17.0693,0.0024,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45557,-0.06908,-9.691,0.059,20.5655,0.0174,19.4238,0.0051,18.8952,0.0051,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.62878,-0.06646,-11.935,0.012,18.0902,0.0035,17.6825,0.0026,17.5011,0.0028,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.65245,-0.06631,-9.991,0.042,20.2996,0.0107,19.1571,0.0052,18.5669,0.0062,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.54855,-0.06596,-10.242,0.04,19.7845,0.0126,19.3718,0.0055,19.2114,0.0046,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.45458,-0.06565,-10.001,0.043,20.0271,0.0095,19.4372,0.0072,19.2014,0.0074,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.56966,-0.0652,-9.679,0.067,20.475,0.0165,19.7902,0.0107,19.4893,0.0078,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
244.53326,-0.06427,-11.62,0.014,18.4575,0.0046,17.8804,0.0036,17.6427,0.0029,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.V.ut170802.2066_f_1_.dat,29.768951906515717,0.01
