ra,dec,insmag_B,insmagerr_B,g,dg,r,dr,i,di,field,utdate,filename,zpt,zpterr
244.54062,-0.00097,-11.702,0.015,14.8598,0.0029,14.1895,0.0021,13.9214,0.0019,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.5974,-0.00017,-11.159,0.019,15.481,0.003,14.9468,0.0017,14.7161,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.66573,0.00014,-9.619,0.065,17.0647,0.0035,16.655,0.002,16.4929,0.002,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.58375,0.00112,-10.281,0.037,16.0083,0.0036,14.7978,0.0071,14.1615,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.55949,0.00241,-9.736,0.057,16.9875,0.0043,16.5604,0.0023,16.3815,0.0021,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.66389,0.00459,-10.009,0.049,16.5541,0.0038,15.9623,0.0015,15.6748,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.50122,0.0053,-10.012,0.04,16.5858,0.0039,16.0596,0.0015,15.8455,0.002,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.6308,0.01391,-9.781,0.053,16.904,0.0026,16.4066,0.0016,16.1968,0.002,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.61271,0.01749,-10.68,0.026,15.9499,0.0034,15.499,0.0017,15.3194,0.0023,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.45209,0.01768,-10.529,0.026,16.1516,0.0022,15.7019,0.0017,15.5325,0.0025,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.58597,0.02474,-10.905,0.021,15.6066,0.0031,14.941,0.0023,14.6562,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.56064,0.03082,-11.148,0.021,15.6365,0.004,15.2656,0.0019,15.0856,0.0016,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.5602,0.03455,-10.168,0.042,16.5395,0.0033,16.0923,0.003,15.9184,0.0015,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.55672,0.03489,-11.473,0.014,19.7551,0.0169,18.6599,0.0059,18.1703,0.0029,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.57497,0.0422,-9.627,0.068,17.0431,0.0042,16.4606,0.0024,16.2176,0.0018,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.51957,0.04448,-10.721,0.03,15.9761,0.0012,15.6009,0.0017,15.4345,0.0014,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.45107,0.05009,-12.133,0.012,14.6107,0.0066,13.9808,0.0187,14.1671,0.0093,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.49887,0.05019,-11.086,0.02,15.5342,0.0025,15.1019,0.0029,14.9327,0.0012,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.62551,0.04983,-10.548,0.028,15.9559,0.0023,15.3957,0.0021,15.1506,0.0023,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.63169,0.05192,-10.503,0.03,15.9527,0.0038,15.2971,0.0013,15.0207,0.0027,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
244.48109,0.05167,-9.621,0.062,17.0987,0.0074,15.9378,0.0025,15.3833,0.0013,ss_sf1615_001a,ut170802,outputcat_dao_ss_sf1615_001a.B.ut170802.2067_f_1_.dat,26.99041652636633,0.057
